,irn0_battery-soc,irn1_battery-soc,irn2_battery-soc,irn0_battery-pmax,irn1_battery-pmax,irn2_battery-pmax,irn0_battery-emax,irn1_battery-emax,irn2_battery-emax,irn0_battery-echa,irn1_battery-echa,irn2_battery-echa,irn0_battery-edis,irn1_battery-edis,irn2_battery-edis,irn0_battery-smin,irn1_battery-smin,irn2_battery-smin,irn0_battery-smax,irn1_battery-smax,irn2_battery-smax,dataValid,temp_air_0,temp_air_1,temp_air_2,temp_air_3,temp_air_4,temp_air_5,temp_air_6,temp_air_7,temp_air_8,temp_air_9,temp_air_10,temp_air_11,temp_air_12,temp_air_13,temp_air_14,temp_air_15,temp_air_16,ghi_0,ghi_1,ghi_2,ghi_3,ghi_4,ghi_5,ghi_6,ghi_7,ghi_8,ghi_9,ghi_10,ghi_11,ghi_12,ghi_13,ghi_14,ghi_15,ghi_16,dni_0,dni_1,dni_2,dni_3,dni_4,dni_5,dni_6,dni_7,dni_8,dni_9,dni_10,dni_11,dni_12,dni_13,dni_14,dni_15,dni_16,dhi_0,dhi_1,dhi_2,dhi_3,dhi_4,dhi_5,dhi_6,dhi_7,dhi_8,dhi_9,dhi_10,dhi_11,dhi_12,dhi_13,dhi_14,dhi_15,dhi_16
2018-07-21 00:00:00,0.6,0.25,0.28,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.8491870079,12.1756878045,12.6074313196,12.735745444500001,11.8121710162,9.1187115071,7.7899062303,7.1088957703,6.7088716983,6.5708621966,6.0638897379,5.5414465697,5.2005224036,5.0565281012,5.2287706625,5.2641109099,5.0872899763,474.9286464239,417.3231719457,173.0058514076,82.3970262573,25.1621430835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.5027981319,612.2921570961,36.4435657251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9413566333,122.7893867324,158.2233319703,82.3970262573,25.1621430835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 01:00:00,0.88,0.84,0.71,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.8945009595,12.2222503684,12.6556449677,12.7844497946,11.8573434104,9.1535835074,7.8196965808000005,7.1360817839,6.7345279300000005,6.5959906489,6.0870794138,5.5626383056,5.2204103689,5.0758654,5.2487666555,5.284242052,5.1067449154,476.7448802027,418.9191094561,173.6674646281,82.7121309862,25.2583687683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.3767135656,614.6336997817,36.5829341031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2967852491,123.258960917,158.8284135174,82.7121309862,25.2583687683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 02:00:00,0.64,0.62,0.39,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.5190124893,12.8639701262,13.3201197722,13.4556873964,12.4799040119,9.6341852962,8.2302636731,7.5107562126000005,7.0881190857,6.9423080123,6.4066767882,5.8547003071,5.4945039586,5.3423697685,5.5243490699999995,5.5616870746,5.3748705888,501.7759996636,440.9141317598,182.785739903,87.0548671488,26.5845397924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.9846766921,646.9045645624,38.5036926299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1952604585,129.7305768765,167.167575945,87.0548671488,26.5845397924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 03:00:00,0.82,0.78,0.75,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.0189704655,12.3501495944,12.7880794333,12.9182321328,11.9814240827,9.2493707977,7.9015254674,7.2107570122,6.8050011149,6.6650141162,6.1507774008,5.6208483006000005,5.2750391341,5.1289815804,5.3036921538,5.3395387811,5.1601842332,481.7337569891,423.3028708919,175.4848005216,83.5776686089,25.522683908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.270857018,621.0655083324,36.9657546813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.273085542,124.5487991394,160.4904667835,83.5776686089,25.522683908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 04:00:00,0.66,0.79,0.4,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.5052490481,11.8222727373,12.2414843391,12.3660739807,11.4693074934,8.854029126,7.5637941389000005,6.9025508872,6.5141380307,6.380134433,5.8878775048000005,5.3805989245,5.0495705227,4.909755841,5.0769988394,5.1113132905,4.9396248129,461.1432289423,405.2098277764,167.9841330793,80.0053461286,24.4317793757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.689458615,594.5195862693,35.3857441517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2436136942,119.2252661616,153.6306953649,80.0053461286,24.4317793757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 05:00:00,0.88,0.84,0.84,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.8352279329,12.1613440914,12.592578986,12.7207419489,11.7982555484,9.1079691012,7.7807292391,7.1005210515,6.7009682326,6.5631213146,6.0567461008,5.534918403,5.1943958666,5.0505711985,5.2226108473,5.2579094618,5.0812968342,474.3691511124,416.8315394451,172.8020398173,82.2999574656,25.1325005231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.6174813685,611.5708390755,36.4006329513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8318659684,122.6447332425,158.0369351019,82.2999574656,25.1325005231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 06:00:00,0.81,0.7,0.59,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.7315362587,12.0547952242,12.4822519517,12.6092920437,11.6948877993,9.0281716887,7.7125601387,7.0383114414,6.6422592142,6.5056200107999995,6.003681289,5.4864254665,5.1488863414,5.0063217606,5.1768541229,5.2118434766,5.0367782005,470.2130730233,413.1795641345,171.2880738063,81.5789049917,24.9123078008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0411159781,606.2126994109,36.0817170338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0185405589,121.5702091353,156.6523302184,81.5789049917,24.9123078008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 07:00:00,0.53,0.64,0.64,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.6552891999,13.0040019008,13.4651170002,13.6021603566,12.6157550041,9.73905899,8.3198548659,7.5925151494000005,7.1652773723,7.0178790608,6.4764171802,5.9184321151,5.5543148205,5.4005245614,5.5844848131,5.6222292635999995,5.433379172,507.2381223986,445.713737769,184.7754686788,88.0025098606,26.8739279243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.6276603275,653.946495886,38.9228276523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2641728118,131.1427694362,168.9872919492,88.0025098606,26.8739279243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 08:00:00,0.64,0.58,0.66,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.6562863343,13.005026511,13.4661779425,13.6032320968,12.6167490236,9.7398263491,8.3205104032,7.5931133782,7.1658419382,7.0184320129,6.4769274695,5.9188984397,5.5547524555,5.4009500791,5.5849248254,5.6226722498,5.4338072783,507.2780886588,445.7488564055,184.7900274909,88.0094437464,26.8760453724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.6909008935,653.9980215792,38.9258944563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2719940255,131.1531024254,169.0006067806,88.0094437464,26.8760453724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 09:00:00,0.63,0.35,0.7,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.8526001103,12.1791949539,12.6110628307,12.7394139158,11.8155734563,9.1213381089,7.792150076,7.1109434542,6.7108041571,6.5727549024,6.0656364127,5.5430427572,5.2020203895,5.0579846103,5.2302767852,5.2656272122,5.0887553462,475.0654473782,417.4433799151,173.0556849263,82.4207603317,25.16939092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.7192649649,612.4685249611,36.4540631222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9681279523,122.8247556355,158.2689074541,82.4207603317,25.16939092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 10:00:00,0.55,0.44,0.62,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.4638982324,12.8073372125,13.261478685,13.3964494802,12.4249619279,9.5917713308,8.1940303946,7.4776905257,7.0569140352,6.911744887,6.3784717496,5.8289253143,5.4703147102,5.3188502824,5.5000284301,5.5372020563,5.3512080197,499.5669587046,438.9730317927,181.981035839,86.671612933,26.467502833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.489203268,644.05660316,38.3341822624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7629612802,129.1594452198,166.43162998,86.671612933,26.467502833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 11:00:00,0.56,0.82,0.27,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.4432072275,12.7860760732,13.2394636369,13.3742103705,12.4043355603,9.5758482718,8.1804276903,7.4652769992,7.0451990292,6.9002708727,6.3678830086,5.8192488616,5.461233578,5.3100205924,5.4908979709,5.5280098859999995,5.3423246135,498.7376401273,438.2443036736,181.6789336861,86.5277315624,26.4235647955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.1769319699,642.9874209483,38.270544648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6006674404,128.9450308646,166.1553410058,86.5277315624,26.4235647955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 12:00:00,0.79,0.81,0.37,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.5436290726,11.8617103119,12.2823203496,12.4073256061,11.5075676216,8.8835650234,7.5890259790000005,6.9255769053,6.5358683537,6.4014177373,5.9075187036,5.3985479074,5.0664152377,4.9261341523,5.0939350517,5.1283639714,4.9561027632,462.6815431843,406.5615554175,168.5445064473,80.2722336283,24.5132806357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.1236083887,596.5028268099,35.5037864231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5446547319,119.6229862481,154.1431875189,80.2722336283,24.5132806357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 13:00:00,0.65,0.75,0.4,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.4450638149,12.7879838183,13.2414390295,13.376205868,12.4061863478,9.5772770352,8.1816482501,7.466390855,7.0462502074,6.9013004268,6.3688331279,5.820117122,5.4620484207,5.3108128735,5.4917172397,5.5288346921,5.3431217144,498.8120542214,438.3096918661,181.7060410712,86.540641923,26.4275073205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.2946810262,643.0833578149,38.2762548003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6152299371,128.9642700936,166.1801321949,86.540641923,26.4275073205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 14:00:00,0.62,0.54,0.26,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.3734254749,12.7143715053,13.1652164625,13.2992075338,12.3347718007,9.522146725,8.1345516897,7.4234115779,7.0056894135,6.8615740169,6.3321717946,5.7866143987,5.4306068719,5.2802418918,5.4601049063,5.4970086971,5.3123647512,495.940709561,435.7866209365,180.6600746267,86.0424823296,26.2753809206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.751212101,639.3815347534,38.0559226754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0533209638,128.221904577,165.2235385617,86.0424823296,26.2753809206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 15:00:00,0.28,0.65,0.58,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.7098804374,12.0325426832,12.4592103473,12.5860159297,11.6732996293,9.0115061414,7.6983231436,7.0253190752,6.6299979404,6.493610966,5.9925987976,5.4762978032,5.1393817582,4.9970803444000005,5.1672979126,5.2022226777,5.0274805633,469.3450835249,412.4168556026,170.9718847044,81.4283144682,24.8663209434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.6676537924,605.0936614958,36.0151120131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8486789973,121.3457966914,156.3631579573,81.4283144682,24.8663209434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 16:00:00,0.55,0.77,0.8,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.2823342751,12.6207703148,13.0682962228,13.201300873,12.2439651631,9.452046188,8.0746664078,7.3687615969,6.954114637,6.8110601951,6.2855553481,5.7440142595,5.3906276037,5.2413695868,5.4199084782,5.4565405892,5.2732559628,492.2896725587,432.578428813,179.3300837537,85.4090511942,26.0819457254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.9739978943,634.6745091011,37.7757609965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3388297773,127.2779552115,164.0071890237,85.4090511942,26.0819457254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 17:00:00,0.37,0.57,0.54,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,11.753102858,12.0769560846,12.5051986247,12.6324722601,11.7163870262,9.0447685739,7.7267384773,7.051250279,6.6544699716,6.5175795783,6.0147181204,5.4965114039,5.1583517657,5.0155251022,5.1863709616,5.2214246377,5.0460375315,471.077486405,413.9391303074,171.6029602092,81.7288750822,24.9581051924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.4089194998,607.3271268899,36.1480476419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1877022908,121.7936969999,156.9403110898,81.7288750822,24.9581051924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 18:00:00,0.71,0.51,0.86,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.109644536,12.4433221617,12.884555851,13.0156904546,12.0718148941,9.319150326799999,7.9611365197,7.2651567373,6.8563397176,6.7152966226,6.1971803789,5.6632533632,5.3148353272,5.1676758795,5.3437045124,5.3798215755,5.1991139326999996,485.3680749828,426.4963719039,176.8087010349,84.2081991052,25.7152333152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0216159207,625.7509793409,37.2446334301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.9843048953,125.4884259254,161.7012463537,84.2081991052,25.7152333152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 19:00:00,0.57,0.48,0.27,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.6730305854,13.0222321449,13.4839936791,13.6212291559,12.6334409668,9.7527121272,8.3315184281,7.6031590577,7.1753223381,7.0277173897,6.4854964365,5.9267291349,5.5621013861,5.4080955293,5.5923136739,5.6301110382,5.4409961986,507.949216938,446.3385815871,185.0345044669,88.1258801308,26.911602347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.7528599552,654.8632601467,38.9773933661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4033307499,131.3266178165,169.2241943728,88.1258801308,26.911602347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-21 20:00:00,0.72,0.64,0.76,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,0.96,0.96,0.96,0.96,0.96,0.96,0.1,0.1,0.1,1.0,1.0,1.0,True,12.1973011374,12.5333941145,12.9778217082,13.1099055397,12.1591976628,9.3866077195,8.0187638241,7.317746138,6.9059698646,6.7639058182,6.2420391499,5.7042472621,5.3533071751,5.2050825023,5.3823853321,5.4187638313,5.2367481223,488.8814494502,429.5835989811,178.0885445348,84.8177466876,25.9013750267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.5809999735,630.2805263529,37.5142315988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6718561555,126.3967836324,162.8717333708,84.8177466876,25.9013750267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
