,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2019-12-31 00:00:00,8.839999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31 01:00:00,8.600000000000023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-12-31 02:00:00,8.529999999999973,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-12-31 03:00:00,8.670000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31 04:00:00,8.579999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31 05:00:00,8.480000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31 06:00:00,8.279999999999973,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-12-31 07:00:00,7.860000000000014,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2019-12-31 08:00:00,7.389999999999986,0.0,36.14627244895087,32.106299679263834,33.11053442837758,7.000000000000001,0.0,0.0,0.0
2019-12-31 09:00:00,9.649999999999977,0.0,180.1941113606698,408.23884936779257,77.95787594842695,9.0,0.0,0.0,0.0
2019-12-31 10:00:00,12.04000000000002,0.0,312.09180236202275,562.2469389780495,102.41357251697346,9.0,0.0,0.0,0.0
2019-12-31 11:00:00,13.5,0.0,396.1417754424638,598.5614056317545,124.5747681951928,11.0,0.0,0.0,0.0
2019-12-31 12:00:00,14.699999999999989,0.0,433.16973289431314,621.9924024163686,130.10888568732332,11.0,0.0,0.0,0.0
2019-12-31 13:00:00,15.29000000000002,0.0,409.702545813593,579.8529762543822,136.43420951432842,13.0,0.0,0.0,0.0
2019-12-31 14:00:00,15.829999999999984,0.0,335.1019161364534,516.5702036512296,124.92174772258363,15.0,0.0,0.0,0.0
2019-12-31 15:00:00,15.819999999999993,0.0,231.05655337589715,481.7539284785628,87.28103072089931,9.0,0.0,0.0,0.0
2019-12-31 16:00:00,15.569999999999993,0.0,82.9252817502207,182.05574118312694,55.00622841169144,11.0,0.0,0.0,0.0
2019-12-31 17:00:00,14.279999999999973,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2019-12-31 18:00:00,11.990000000000009,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2019-12-31 19:00:00,10.899999999999977,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2019-12-31 20:00:00,10.45999999999998,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0
2019-12-31 21:00:00,10.220000000000027,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2019-12-31 22:00:00,9.949999999999989,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2019-12-31 23:00:00,9.399999999999977,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0
2020-01-01 00:00:00,9.100000000000023,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-01-01 01:00:00,8.879999999999995,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2020-01-01 02:00:00,8.300000000000011,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-01 03:00:00,8.379999999999995,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-01-01 04:00:00,8.470000000000027,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
2020-01-01 05:00:00,8.589999999999975,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
2020-01-01 06:00:00,8.649999999999977,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-01-01 07:00:00,8.569999999999993,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
2020-01-01 08:00:00,8.699999999999989,0.0,30.145976910553834,0.0,30.145976910553834,30.0,0.0,0.0,0.0
2020-01-01 09:00:00,9.870000000000005,0.0,151.3058807573151,227.22938269728064,94.4151350324845,32.0,0.0,0.0,0.0
2020-01-01 10:00:00,11.54000000000002,0.0,273.34434223504803,367.64804180679573,136.12303583065113,27.0,0.0,0.0,0.0
2020-01-01 11:00:00,12.649999999999977,0.0,313.3246860515604,266.49348427987496,192.22469152657126,41.0,0.0,0.0,0.0
2020-01-01 12:00:00,13.180000000000007,0.0,345.9741042445946,281.0269255964759,208.7275920892239,40.0,0.0,0.0,0.0
2020-01-01 13:00:00,14.220000000000027,0.0,367.26977259095133,396.0233591797174,180.03290626330423,28.000000000000004,0.0,0.0,0.0
2020-01-01 14:00:00,14.629999999999995,0.0,307.67208949982654,385.00398507211673,150.30792038641695,27.0,0.0,0.0,0.0
2020-01-01 15:00:00,14.329999999999984,0.0,204.09140223750725,315.69055748619456,109.20668212531544,27.0,0.0,0.0,0.0
2020-01-01 16:00:00,13.75,0.0,73.52194636997659,102.06676767443453,57.635624918400104,30.0,0.0,0.0,0.0
2020-01-01 17:00:00,13.20999999999998,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
2020-01-01 18:00:00,12.629999999999995,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
2020-01-01 19:00:00,12.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
2020-01-01 20:00:00,11.839999999999975,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
2020-01-01 21:00:00,11.649999999999977,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
2020-01-01 22:00:00,11.370000000000005,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2020-01-01 23:00:00,11.100000000000023,0.0,0.0,0.0,0.0,56.99999999999999,0.0,0.0,0.0
2020-01-02 00:00:00,10.45999999999998,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
2020-01-02 01:00:00,10.160000000000025,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0
2020-01-02 02:00:00,9.829999999999984,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0
2020-01-02 03:00:00,8.970000000000027,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
2020-01-02 04:00:00,8.990000000000009,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
2020-01-02 05:00:00,8.910000000000025,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
2020-01-02 06:00:00,7.949999999999989,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0
2020-01-02 07:00:00,7.810000000000002,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
2020-01-02 08:00:00,7.689999999999998,0.0,18.535915607078707,0.0,18.535915607078707,77.0,0.0,0.0,0.0
2020-01-02 09:00:00,8.720000000000027,0.0,96.55378812321025,15.862841857236301,92.58151321490818,76.0,0.0,0.0,0.0
2020-01-02 10:00:00,9.879999999999995,0.0,165.68537469010758,42.19630432677721,149.91796393440598,77.0,0.0,0.0,0.0
2020-01-02 11:00:00,11.170000000000016,0.0,216.47351446241075,55.277292171880404,191.30818276825858,76.0,0.0,0.0,0.0
2020-01-02 12:00:00,13.240000000000009,0.0,264.5634505274911,95.58968797840356,217.76073374073476,67.0,0.0,0.0,0.0
2020-01-02 13:00:00,13.560000000000002,0.0,415.4312504496018,594.4013684934386,133.43457987065517,12.0,0.0,0.0,0.0
2020-01-02 14:00:00,15.740000000000009,0.0,350.75125448009203,575.2113705927176,114.51636463989274,10.0,0.0,0.0,0.0
2020-01-02 15:00:00,16.089999999999975,0.0,235.14627861462935,483.90705192457193,88.63136350629841,9.0,0.0,0.0,0.0
2020-01-02 16:00:00,16.029999999999973,0.0,89.79544825350966,216.20782636798887,55.63026721793026,6.0,0.0,0.0,0.0
2020-01-02 17:00:00,14.649999999999977,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0
2020-01-02 18:00:00,12.670000000000016,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-01-02 19:00:00,11.550000000000011,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-01-02 20:00:00,10.649999999999977,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-01-02 21:00:00,10.360000000000014,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-02 22:00:00,9.779999999999973,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-02 23:00:00,9.639999999999986,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-03 00:00:00,9.25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-03 01:00:00,8.550000000000011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-01-03 02:00:00,8.730000000000018,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-03 03:00:00,7.949999999999989,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-03 04:00:00,8.029999999999973,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-03 05:00:00,7.8799999999999955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-01-03 06:00:00,6.769999999999982,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-01-03 07:00:00,6.430000000000007,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-01-03 08:00:00,5.9599999999999795,0.0,32.29946917005486,2.678560258661601,32.04844262550225,19.0,0.0,0.0,0.0
2020-01-03 09:00:00,7.389999999999986,0.0,168.40197554235206,328.6826051289243,86.04292022170323,18.0,0.0,0.0,0.0
2020-01-03 10:00:00,9.589999999999975,0.0,291.00564666238984,446.92139178614593,123.76301802238018,19.0,0.0,0.0,0.0
2020-01-03 11:00:00,11.79000000000002,0.0,378.4492099402453,501.3534327215007,149.72800120244275,18.0,0.0,0.0,0.0
2020-01-03 12:00:00,13.310000000000002,0.0,418.0059538112718,523.3173112177276,161.06796709623825,17.0,0.0,0.0,0.0
2020-01-03 13:00:00,14.5,0.0,411.1314516792263,561.964243720262,143.54819913303652,14.000000000000002,0.0,0.0,0.0
2020-01-03 14:00:00,15.370000000000005,0.0,342.89421569446876,527.3890898901992,125.21428064080655,14.000000000000002,0.0,0.0,0.0
2020-01-03 15:00:00,15.490000000000009,0.0,229.1425336869996,435.6146721451277,96.24625651372565,14.000000000000002,0.0,0.0,0.0
2020-01-03 16:00:00,15.120000000000005,0.0,85.68801145131148,170.75923776096278,58.28562918448377,16.0,0.0,0.0,0.0
2020-01-03 17:00:00,13.54000000000002,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
2020-01-03 18:00:00,11.800000000000011,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-01-03 19:00:00,10.79000000000002,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0
2020-01-03 20:00:00,10.269999999999982,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0
2020-01-03 21:00:00,9.480000000000018,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-01-03 22:00:00,9.379999999999995,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0
2020-01-03 23:00:00,8.879999999999995,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-01-04 00:00:00,8.910000000000025,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-04 01:00:00,9.100000000000023,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-04 02:00:00,8.910000000000025,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-04 03:00:00,8.449999999999989,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-04 04:00:00,8.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-01-04 05:00:00,8.439999999999998,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
2020-01-04 06:00:00,9.129999999999995,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
2020-01-04 07:00:00,9.360000000000014,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0
2020-01-04 08:00:00,9.649999999999977,0.0,14.50410432218014,0.0,14.50410432218014,93.0,0.0,0.0,0.0
2020-01-04 09:00:00,10.220000000000027,0.0,74.19663382512626,0.0,74.19663382512626,94.0,0.0,0.0,0.0
2020-01-04 10:00:00,11.100000000000023,0.0,124.99972678310141,0.0,124.99972678310141,96.0,0.0,0.0,0.0
2020-01-04 11:00:00,12.259999999999991,0.0,175.45395530235294,14.25004459138156,168.93778747675245,91.0,0.0,0.0,0.0
2020-01-04 12:00:00,13.0,0.0,195.600464468053,18.930801212992083,186.27800735351175,90.0,0.0,0.0,0.0
2020-01-04 13:00:00,13.329999999999984,0.0,191.41346065339224,19.985653923109997,181.86034623957704,89.0,0.0,0.0,0.0
2020-01-04 14:00:00,13.120000000000005,0.0,152.5265252593449,8.323960144354352,149.07286499681575,92.0,0.0,0.0,0.0
