,Test Score,RMSE,Computation Time (s)
stats_sarimax,0.8619110770828258,329.6252120841654,1.131796407699585
time_of_week_temperature,0.39580966827824954,689.4898651604947,0.02025761604309082
extratreespipeline,0.9040089619972388,274.81724357314454,0.13102943897247316
randomforestpipeline,0.8953902995486175,286.8902240145393,0.13701200485229492
mlpregressor,0.8719654089135052,317.3917670721986,0.3604955911636353
tuned_mlpregressor,0.8928613537633646,290.28754611604523,3.0622424602508547
tuned-Total_mlpregressor,0.8906395602195951,293.3150741525663,2.795976734161377
tuned-Fastmlp_regressor,0.8897345873915976,294.5246614971891,2.2647908210754393
randomforest,0.8951185744595129,287.25369533321344,0.20576400756835939
extratrees,0.9012415527745092,278.73356635539096,0.13451485633850097
gradientboosting,0.8977061882235938,283.70394756033977,0.05117037296295166
time_of_day_temperature,0.8637194494068492,327.4597612956069,0.0886267900466919
