datetime,site,power
6/1/08 0:00,ThreePlaza,40.32
6/1/08 0:15,ThreePlaza,40.32
6/1/08 0:30,ThreePlaza,39.36
6/1/08 0:45,ThreePlaza,40.32
6/1/08 1:00,ThreePlaza,40.32
6/1/08 1:15,ThreePlaza,39.36
6/1/08 1:30,ThreePlaza,38.4
6/1/08 1:45,ThreePlaza,39.36
6/1/08 2:00,ThreePlaza,39.36
6/1/08 2:15,ThreePlaza,40.32
6/1/08 2:30,ThreePlaza,38.4
6/1/08 2:45,ThreePlaza,40.32
6/1/08 3:00,ThreePlaza,40.32
6/1/08 3:15,ThreePlaza,40.32
6/1/08 3:30,ThreePlaza,39.36
6/1/08 3:45,ThreePlaza,40.32
6/1/08 4:00,ThreePlaza,39.36
6/1/08 4:15,ThreePlaza,40.32
6/1/08 4:30,ThreePlaza,39.36
6/1/08 4:45,ThreePlaza,39.36
6/1/08 5:00,ThreePlaza,40.32
6/1/08 5:15,ThreePlaza,39.36
6/1/08 5:30,ThreePlaza,36.48
6/1/08 5:45,ThreePlaza,31.68
6/1/08 6:00,ThreePlaza,32.64
6/1/08 6:15,ThreePlaza,30.72
6/1/08 6:30,ThreePlaza,32.64
6/1/08 6:45,ThreePlaza,29.76
6/1/08 7:00,ThreePlaza,31.68
6/1/08 7:15,ThreePlaza,31.68
6/1/08 7:30,ThreePlaza,32.64
6/1/08 7:45,ThreePlaza,30.72
6/1/08 8:00,ThreePlaza,32.64
6/1/08 8:15,ThreePlaza,30.72
6/1/08 8:30,ThreePlaza,31.68
6/1/08 8:45,ThreePlaza,30.72
6/1/08 9:00,ThreePlaza,31.68
6/1/08 9:15,ThreePlaza,32.64
6/1/08 9:30,ThreePlaza,31.68
6/1/08 9:45,ThreePlaza,32.64
6/1/08 10:00,ThreePlaza,31.68
6/1/08 10:15,ThreePlaza,31.68
6/1/08 10:30,ThreePlaza,31.68
6/1/08 10:45,ThreePlaza,31.68
6/1/08 11:00,ThreePlaza,30.72
6/1/08 11:15,ThreePlaza,31.68
6/1/08 11:30,ThreePlaza,32.64
6/1/08 11:45,ThreePlaza,31.68
6/1/08 12:00,ThreePlaza,30.72
6/1/08 12:15,ThreePlaza,31.68
6/1/08 12:30,ThreePlaza,31.68
6/1/08 12:45,ThreePlaza,32.64
6/1/08 13:00,ThreePlaza,31.68
6/1/08 13:15,ThreePlaza,31.68
6/1/08 13:30,ThreePlaza,32.64
6/1/08 13:45,ThreePlaza,32.64
6/1/08 14:00,ThreePlaza,31.68
6/1/08 14:15,ThreePlaza,31.68
6/1/08 14:30,ThreePlaza,31.68
6/1/08 14:45,ThreePlaza,31.68
6/1/08 15:00,ThreePlaza,32.64
6/1/08 15:15,ThreePlaza,31.68
6/1/08 15:30,ThreePlaza,32.64
6/1/08 15:45,ThreePlaza,33.6
6/1/08 16:00,ThreePlaza,32.64
6/1/08 16:15,ThreePlaza,33.6
6/1/08 16:30,ThreePlaza,32.64
6/1/08 16:45,ThreePlaza,32.64
6/1/08 17:00,ThreePlaza,31.68
6/1/08 17:15,ThreePlaza,33.6
6/1/08 17:30,ThreePlaza,31.68
6/1/08 17:45,ThreePlaza,33.6
6/1/08 18:00,ThreePlaza,32.64
6/1/08 18:15,ThreePlaza,32.64
6/1/08 18:30,ThreePlaza,31.68
6/1/08 18:45,ThreePlaza,33.6
6/1/08 19:00,ThreePlaza,31.68
6/1/08 19:15,ThreePlaza,33.6
6/1/08 19:30,ThreePlaza,32.64
6/1/08 19:45,ThreePlaza,35.52
6/1/08 20:00,ThreePlaza,42.24
6/1/08 20:15,ThreePlaza,42.24
6/1/08 20:30,ThreePlaza,43.2
6/1/08 20:45,ThreePlaza,42.24
6/1/08 21:00,ThreePlaza,43.2
6/1/08 21:15,ThreePlaza,42.24
6/1/08 21:30,ThreePlaza,44.16
6/1/08 21:45,ThreePlaza,42.24
6/1/08 22:00,ThreePlaza,43.2
6/1/08 22:15,ThreePlaza,42.24
6/1/08 22:30,ThreePlaza,42.24
6/1/08 22:45,ThreePlaza,42.24
6/1/08 23:00,ThreePlaza,39.36
6/1/08 23:15,ThreePlaza,40.32
6/1/08 23:30,ThreePlaza,41.28
6/1/08 23:45,ThreePlaza,40.32
6/2/08 0:00,ThreePlaza,40.32
6/2/08 0:15,ThreePlaza,41.28
6/2/08 0:30,ThreePlaza,39.36
6/2/08 0:45,ThreePlaza,40.32
6/2/08 1:00,ThreePlaza,40.32
6/2/08 1:15,ThreePlaza,40.32
6/2/08 1:30,ThreePlaza,40.32
6/2/08 1:45,ThreePlaza,40.32
6/2/08 2:00,ThreePlaza,40.32
6/2/08 2:15,ThreePlaza,41.28
6/2/08 2:30,ThreePlaza,40.32
6/2/08 2:45,ThreePlaza,38.4
6/2/08 3:00,ThreePlaza,40.32
6/2/08 3:15,ThreePlaza,40.32
6/2/08 3:30,ThreePlaza,38.4
6/2/08 3:45,ThreePlaza,39.36
6/2/08 4:00,ThreePlaza,38.4
6/2/08 4:15,ThreePlaza,39.36
6/2/08 4:30,ThreePlaza,42.24
6/2/08 4:45,ThreePlaza,55.68
6/2/08 5:00,ThreePlaza,48.96
6/2/08 5:15,ThreePlaza,52.8
6/2/08 5:30,ThreePlaza,50.88
6/2/08 5:45,ThreePlaza,46.08
6/2/08 6:00,ThreePlaza,53.76
6/2/08 6:15,ThreePlaza,68.16
6/2/08 6:30,ThreePlaza,96.96
6/2/08 6:45,ThreePlaza,105.6
6/2/08 7:00,ThreePlaza,93.12
6/2/08 7:15,ThreePlaza,82.56
6/2/08 7:30,ThreePlaza,97.92
6/2/08 7:45,ThreePlaza,104.64
6/2/08 8:00,ThreePlaza,115.2
6/2/08 8:15,ThreePlaza,127.68
6/2/08 8:30,ThreePlaza,130.56
6/2/08 8:45,ThreePlaza,129.6
6/2/08 9:00,ThreePlaza,132.48
6/2/08 9:15,ThreePlaza,133.44
6/2/08 9:30,ThreePlaza,136.32
6/2/08 9:45,ThreePlaza,139.2
6/2/08 10:00,ThreePlaza,146.88
6/2/08 10:15,ThreePlaza,149.76
6/2/08 10:30,ThreePlaza,148.8
6/2/08 10:45,ThreePlaza,150.72
6/2/08 11:00,ThreePlaza,144
6/2/08 11:15,ThreePlaza,158.4
6/2/08 11:30,ThreePlaza,158.4
6/2/08 11:45,ThreePlaza,157.44
6/2/08 12:00,ThreePlaza,152.64
6/2/08 12:15,ThreePlaza,153.6
6/2/08 12:30,ThreePlaza,153.6
6/2/08 12:45,ThreePlaza,144.96
6/2/08 13:00,ThreePlaza,156.48
6/2/08 13:15,ThreePlaza,164.16
6/2/08 13:30,ThreePlaza,164.16
6/2/08 13:45,ThreePlaza,162.24
6/2/08 14:00,ThreePlaza,162.24
6/2/08 14:15,ThreePlaza,161.28
6/2/08 14:30,ThreePlaza,159.36
6/2/08 14:45,ThreePlaza,168
6/2/08 15:00,ThreePlaza,166.08
6/2/08 15:15,ThreePlaza,169.92
6/2/08 15:30,ThreePlaza,160.32
6/2/08 15:45,ThreePlaza,164.16
6/2/08 16:00,ThreePlaza,167.04
6/2/08 16:15,ThreePlaza,170.88
6/2/08 16:30,ThreePlaza,166.08
6/2/08 16:45,ThreePlaza,168.96
6/2/08 17:00,ThreePlaza,165.12
6/2/08 17:15,ThreePlaza,159.36
6/2/08 17:30,ThreePlaza,76.8
6/2/08 17:45,ThreePlaza,58.56
6/2/08 18:00,ThreePlaza,53.76
6/2/08 18:15,ThreePlaza,50.88
6/2/08 18:30,ThreePlaza,47.04
6/2/08 18:45,ThreePlaza,46.08
6/2/08 19:00,ThreePlaza,48.96
6/2/08 19:15,ThreePlaza,51.84
6/2/08 19:30,ThreePlaza,49.92
6/2/08 19:45,ThreePlaza,48.96
6/2/08 20:00,ThreePlaza,53.76
6/2/08 20:15,ThreePlaza,50.88
6/2/08 20:30,ThreePlaza,50.88
6/2/08 20:45,ThreePlaza,57.6
6/2/08 21:00,ThreePlaza,62.4
6/2/08 21:15,ThreePlaza,63.36
6/2/08 21:30,ThreePlaza,62.4
6/2/08 21:45,ThreePlaza,60.48
6/2/08 22:00,ThreePlaza,59.52
6/2/08 22:15,ThreePlaza,57.6
6/2/08 22:30,ThreePlaza,53.76
6/2/08 22:45,ThreePlaza,58.56
6/2/08 23:00,ThreePlaza,58.56
6/2/08 23:15,ThreePlaza,52.8
6/2/08 23:30,ThreePlaza,51.84
6/2/08 23:45,ThreePlaza,50.88
6/3/08 0:00,ThreePlaza,43.2
6/3/08 0:15,ThreePlaza,47.04
6/3/08 0:30,ThreePlaza,42.24
6/3/08 0:45,ThreePlaza,40.32
6/3/08 1:00,ThreePlaza,43.2
6/3/08 1:15,ThreePlaza,42.24
6/3/08 1:30,ThreePlaza,40.32
6/3/08 1:45,ThreePlaza,40.32
6/3/08 2:00,ThreePlaza,41.28
6/3/08 2:15,ThreePlaza,41.28
6/3/08 2:30,ThreePlaza,42.24
