datetime,site_id,power
6/1/08 0:00,TwoParkside,58.08
6/1/08 0:15,TwoParkside,57.6
6/1/08 0:30,TwoParkside,55.2
6/1/08 0:45,TwoParkside,57.12
6/1/08 1:00,TwoParkside,57.6
6/1/08 1:15,TwoParkside,56.16
6/1/08 1:30,TwoParkside,56.16
6/1/08 1:45,TwoParkside,57.6
6/1/08 2:00,TwoParkside,58.08
6/1/08 2:15,TwoParkside,56.64
6/1/08 2:30,TwoParkside,54.72
6/1/08 2:45,TwoParkside,57.12
6/1/08 3:00,TwoParkside,57.6
6/1/08 3:15,TwoParkside,56.16
6/1/08 3:30,TwoParkside,56.16
6/1/08 3:45,TwoParkside,56.64
6/1/08 4:00,TwoParkside,56.64
6/1/08 4:15,TwoParkside,56.16
6/1/08 4:30,TwoParkside,55.68
6/1/08 4:45,TwoParkside,57.6
6/1/08 5:00,TwoParkside,56.64
6/1/08 5:15,TwoParkside,55.68
6/1/08 5:30,TwoParkside,50.88
6/1/08 5:45,TwoParkside,49.44
6/1/08 6:00,TwoParkside,48.96
6/1/08 6:15,TwoParkside,46.56
6/1/08 6:30,TwoParkside,49.44
6/1/08 6:45,TwoParkside,48.48
6/1/08 7:00,TwoParkside,49.44
6/1/08 7:15,TwoParkside,47.04
6/1/08 7:30,TwoParkside,49.44
6/1/08 7:45,TwoParkside,49.92
6/1/08 8:00,TwoParkside,49.44
6/1/08 8:15,TwoParkside,47.04
6/1/08 8:30,TwoParkside,49.92
6/1/08 8:45,TwoParkside,55.2
6/1/08 9:00,TwoParkside,52.8
6/1/08 9:15,TwoParkside,52.32
6/1/08 9:30,TwoParkside,53.76
6/1/08 9:45,TwoParkside,54.24
6/1/08 10:00,TwoParkside,52.32
6/1/08 10:15,TwoParkside,51.84
6/1/08 10:30,TwoParkside,54.72
6/1/08 10:45,TwoParkside,54.24
6/1/08 11:00,TwoParkside,52.8
6/1/08 11:15,TwoParkside,52.32
6/1/08 11:30,TwoParkside,54.72
6/1/08 11:45,TwoParkside,55.2
6/1/08 12:00,TwoParkside,53.76
6/1/08 12:15,TwoParkside,52.32
6/1/08 12:30,TwoParkside,54.24
6/1/08 12:45,TwoParkside,52.32
6/1/08 13:00,TwoParkside,52.8
6/1/08 13:15,TwoParkside,52.8
6/1/08 13:30,TwoParkside,52.8
6/1/08 13:45,TwoParkside,51.36
6/1/08 14:00,TwoParkside,50.88
6/1/08 14:15,TwoParkside,49.92
6/1/08 14:30,TwoParkside,56.16
6/1/08 14:45,TwoParkside,53.28
6/1/08 15:00,TwoParkside,48.48
