,weather-dhi,weather-gni,weather-ghi,weather-rhu,weather-oat,weather-wdi,weather-wsp,irn0_power-pv,dataValid,temp_air_0,temp_air_1,temp_air_2,temp_air_3,temp_air_4,temp_air_5,temp_air_6,temp_air_7,temp_air_8,temp_air_9,temp_air_10,temp_air_11,temp_air_12,temp_air_13,temp_air_14,temp_air_15,temp_air_16,ghi_0,ghi_1,ghi_2,ghi_3,ghi_4,ghi_5,ghi_6,ghi_7,ghi_8,ghi_9,ghi_10,ghi_11,ghi_12,ghi_13,ghi_14,ghi_15,ghi_16,dni_0,dni_1,dni_2,dni_3,dni_4,dni_5,dni_6,dni_7,dni_8,dni_9,dni_10,dni_11,dni_12,dni_13,dni_14,dni_15,dni_16,dhi_0,dhi_1,dhi_2,dhi_3,dhi_4,dhi_5,dhi_6,dhi_7,dhi_8,dhi_9,dhi_10,dhi_11,dhi_12,dhi_13,dhi_14,dhi_15,dhi_16
2023-01-01 00:00:00,0,0,0,50,20,0,0,122.65,True,11.5972960683,11.9168560856,12.3394215635,12.4650079767,11.5610669655,8.9248652283,7.6243077974,6.9577743108,6.5662539817,6.4311782966,5.9349830979,5.4236460672,5.0899692936,4.9490360333000005,5.1176170488,5.1522060305,4.9791439701,464.8325762976,408.4516834789,169.3280795545,80.6454238607,24.6272442876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.5272931646,599.2760027698,35.6688455688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.965602041,120.1791203933,154.8598080658,80.6454238607,24.6272442876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0,0,0,50,20,0,0,67.78,True,12.1137743887,12.4475658112,12.8889499782,13.0201293036,12.0759318454,9.3223285141,7.9638515722,7.2676344341,6.8586779922000005,6.717586796,6.1992938548,5.6651847496,5.3166478897000005,5.1694382549,5.3455269204,5.3816563008,5.2008870298,485.5336040911,426.641823506,176.8689995756,84.2369173271,25.724003195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.2835407151,625.9643843977,37.257335277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0166981821,125.5312222862,161.7563926736,84.2369173271,25.724003195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0,0,0,50,20,0,0,102.94,True,12.373978522,12.7149397915,13.1658048998,13.29980196,12.3353231201,9.522572330300001,8.1349152746,7.4237433774,7.0060025424,6.8618807043,6.3324548196,5.7868730393,5.4308496003,5.2804778994,5.4603489531000005,5.4972543934,5.3126021946,495.9628763075,435.8060990139,180.6681494752,86.0463281157,26.2765553346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.7862876268,639.4101127832,38.0576236368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0576588944,128.2276356299,165.2309234531,86.0463281157,26.2765553346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0,0,0,50,20,0,0,69.91,True,11.5852501725,11.9044782687,12.3266048357,12.4520608046,11.5490587001,8.9155951367,7.6163885706,6.9505473999,6.5594337357,6.4244983513000005,5.9288185413,5.4180126269,5.0846824371,4.9438955616,5.1123014751,5.1468545299,4.9739722258,464.3497633404,408.0274323072,169.1522016256,80.5616589579,24.6016644267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.7633146365,598.6535459244,35.6317970019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8711177609,120.0542925748,154.6989580616,80.5616589579,24.6016644267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0,0,0,50,20,0,0,111.58,True,11.799040232,12.1241592493,12.5540755888,12.6818466773,11.7621808952,9.0801203378,7.7569386789,7.0788103136,6.6804791778,6.5430537441,6.0382268364,5.5179946924,5.1785133467,5.0351284406,5.2066420565,5.241832741,5.0657601287,472.9187076524,415.5570244837,172.2736758039,82.0483149741,25.0556547355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.3223738257,609.7008841643,36.2893334288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5480208395,122.2697315148,157.5537172569,82.0483149741,25.0556547355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0,0,0,50,20,0,0,126.82,True,11.9881708864,12.3185013422,12.7553089506,12.8851281234,11.9507207193,9.2256685407,7.8812771725,7.192278867,6.7875627519,6.6479344812,6.1350155387,5.6064444245,5.2615214218,5.1158381524,5.2901010159,5.3258557833,5.1469608459,480.4992754695,422.2181232201,175.0351065982,83.3634941072,25.4572799765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.3174766035,619.4739779873,36.8710269602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0315031737,124.2296328186,160.0791970469,83.3634941072,25.4572799765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0,0,0,50,20,0,0,10.88,True,12.4138889244,12.7559499131,13.2082692188,13.3426984663,12.3751088454,9.5532859519,8.1611532175,7.4476875425,7.0285993474,6.8840126661,6.352879198,5.805537726,5.448365987,5.2975092848,5.4779604855,5.5149849587,5.3297371921,497.5625298004,437.2117258901,181.2508673562,86.3238575759,26.3613064028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.3174974938,641.4724337132,38.1803727648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3707037421,128.6412145388,165.7638508888,86.3238575759,26.3613064028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0,0,0,50,20,0,0,45.21,True,11.7883603512,12.1131850875,12.542712289,12.6703677257,11.7515343776,9.0719014826,7.7499174993,7.0724029407,6.6744323536,6.5371313103,6.0327613458,5.5130000891,5.1738260243,5.0305709028,5.2019292734,5.2370881052,5.0611748647,472.490646103,415.1808837625,172.1177425845,81.9740490839,25.032975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.6450311247,609.1490144647,36.2564862015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4642511587,122.159059279,157.4111077825,81.9740490839,25.032975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0,0,0,50,20,0,0,8.75,True,12.3063240535,12.6454211244,13.0938211371,13.2270855712,12.2678799992,9.4705078655,8.0904377957,7.3831542159,6.9676973701,6.8243635152,6.2978322555,5.7552334322,5.4011565438,5.251606997,5.4304946095,5.4671982701,5.2835556533,493.2512096649,433.4233382918,179.6803501505,85.5758716183,26.1328888185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.4954850298,635.9141513785,37.8495443763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5269981764,127.5265537167,164.3275268385,85.5758716183,26.1328888185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,0,0,0,50,20,0,0,76.0,True,12.0606224526,12.3929492895,12.8323967831,12.9630005295,12.0229459521,9.2814246807,7.9289083649,7.2357460376,6.8285839849,6.6881118585,6.1720930452000005,5.640327465,5.2933198897,5.1467561706,5.3220722071,5.3580430616,5.1780669568,483.4032151417,424.7698356179,176.0929466742,83.8673087227,25.6111332892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.912522208,623.2178235088,37.0938602575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5997908412,124.9804255411,161.0466497669,83.8673087227,25.6111332892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
