,temp_air,ghi,dni,dhi
2022-11-29 12:00:00,12.0842285156,484.3493725069,766.4096732281,94.7849494956
2022-11-29 13:00:00,12.4172058105,425.6012308091,624.4376377661,125.2250477249
2022-11-29 14:00:00,12.8575134277,176.4376105764,37.1664634757,161.3618637933
2022-11-29 15:00:00,12.9883728027,84.0314608619,0.0,84.0314608619
2022-11-29 16:00:00,12.0464782715,25.6612615499,0.0,25.6612615499
2022-11-29 17:00:00,9.2995910645,0.0,0.0,0.0
2022-11-29 18:00:00,7.9444274902,0.0,0.0,0.0
2022-11-29 19:00:00,7.2499084473,0.0,0.0,0.0
2022-11-29 20:00:00,6.8419494629,0.0,0.0,0.0
2022-11-29 21:00:00,6.7012023926,0.0,0.0,0.0
2022-11-29 22:00:00,6.184173584,0.0,0.0,0.0
2022-11-29 23:00:00,5.6513671875,0.0,0.0,0.0
2022-11-30 00:00:00,5.3036804199,0.0,0.0,0.0
2022-11-30 01:00:00,5.156829834,0.0,0.0,0.0
2022-11-30 02:00:00,5.3324890137,0.0,0.0,0.0
2022-11-30 03:00:00,5.3685302734,0.0,0.0,0.0
2022-11-30 04:00:00,5.1882019043,0.0,0.0,0.0
