,timestamp,1004578059,1006706934,1006715799,1006716429,1006727093,1006727361,1008913626,1009074083,1009511425,1009540871,1009984043,1009984060,1010054507,1010086328,1010249061,1010282897,1010397607,1010409824,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2019-01-01 00:00:00,1546331850.0,555.6,18.479999999999997,4.96,33.36,32.480000000000004,1.04,0.796,0.5963,24.32,8.52,3.412,22.541,9.84,74.24000000000001,26.7,,,28.16,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 01:00:00,1546335450.0,559.65,18.4,4.96,33.28,32.96,0.8,0.795,0.6860999999999999,23.68,9.0,3.488,23.235,9.68,77.03999999999999,28.2,,,31.52,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 02:00:00,1546339050.0,565.95,18.479999999999997,4.88,33.36,33.92,0.8,0.797,0.7375,24.96,9.12,3.456,21.346,10.0,74.32,26.4,,,31.52,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 03:00:00,1546342650.0,563.7,18.4,4.72,33.36,32.8,0.72,0.796,0.7161,23.84,8.64,3.448,22.311,10.08,73.84,30.599999999999998,,,32.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 04:00:00,1546346250.0,583.05,18.080000000000002,4.96,33.28,36.64,1.04,0.797,0.788,24.16,8.64,3.575,24.052,10.16,73.12,29.4,,,33.28,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 05:00:00,1546349850.0,595.65,18.16,4.88,33.36,46.72,0.8,0.797,0.8678,28.32,9.6,3.706,22.531,10.72,73.36,32.4,,,33.6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 06:00:00,1546353450.0,616.2,18.0,4.96,31.12,53.12,0.72,0.791,0.7615000000000001,28.64,9.84,23.828,25.458,14.0,73.92,217.5,,,64.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 07:00:00,1546357050.0,610.2,18.0,5.04,20.8,50.88,1.04,0.387,0.8706,29.92,8.64,22.585,22.216,14.8,72.8,209.7,,,70.56,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 08:00:00,1546360650.0,576.45,18.16,4.88,22.24,44.32,0.72,0.324,0.8129000000000001,28.48,7.5600000000000005,18.045,15.516,11.2,72.48,152.1,,,65.28,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 09:00:00,1546364250.0,537.15,18.48,4.96,22.88,40.64,0.72,0.324,0.7252000000000001,28.8,7.2,12.659,14.949,11.120000000000001,71.52,125.1,,,64.8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 10:00:00,1546367850.0,538.65,18.88,4.5600000000000005,22.72,37.28,0.72,0.323,0.6584,35.68,8.16,12.375,15.587,10.879999999999999,70.96000000000001,119.4,,,61.28,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 11:00:00,1546371450.0,526.5,18.72,4.88,22.479999999999997,32.64,1.04,0.323,0.6233,32.480000000000004,7.32,15.504000000000001,17.088,10.32,70.96000000000001,110.4,,,58.56,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 12:00:00,1546375050.0,523.5,19.28,4.72,22.16,33.28,0.8,0.323,0.45909999999999995,33.6,7.4399999999999995,7.401,16.206,10.16,71.84,108.0,,,60.48,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 13:00:00,1546378650.0,513.9,19.119999999999997,4.72,22.0,34.24,0.8,0.323,0.4238,32.16,7.56,10.503,16.994,10.72,71.03999999999999,103.2,,,58.88,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 14:00:00,1546382250.0,515.85,19.28,4.720000000000001,22.0,38.08,1.12,0.322,0.30820000000000003,33.12,7.5600000000000005,6.542,16.951,10.32,73.76,94.5,,,55.839999999999996,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 15:00:00,1546385850.0,514.35,19.439999999999998,4.640000000000001,22.64,42.72,0.8,0.322,0.1982,31.52,7.68,8.576,15.837,10.4,72.64,94.2,,,48.8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 16:00:00,1546389450.0,504.6,19.28,4.72,22.64,48.96,0.88,0.32,0.2972,27.04,8.16,13.751000000000001,14.370000000000001,12.08,76.4,96.0,,,52.32,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 17:00:00,1546393050.0,529.05,19.68,4.8,23.6,41.12,0.8,0.66,0.4252,23.84,9.0,3.076,27.58,12.56,75.44,91.8,,,56.32,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 18:00:00,1546396650.0,534.15,19.04,4.72,21.44,32.16,1.04,0.796,0.46309999999999996,24.0,9.719999999999999,3.379,29.64,11.040000000000001,74.48,27.3,,,26.72,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 19:00:00,1546400250.0,553.35,18.64,4.640000000000001,22.88,32.96,0.8,0.796,0.5801000000000001,23.36,10.08,3.423,29.718,11.28,74.16,24.3,,,22.4,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 20:00:00,1546403850.0,571.95,18.48,4.72,24.0,32.8,0.8,0.798,0.673,25.28,9.96,3.635,27.557000000000002,10.64,73.52,27.0,,,24.8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 21:00:00,1546407450.0,595.9499999999999,18.16,4.88,26.240000000000002,33.6,0.96,0.798,0.7846,23.2,9.12,3.562,24.877,10.08,73.76,29.700000000000003,,,28.16,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 22:00:00,1546411050.0,596.85,17.92,4.8,27.2,34.4,0.8,0.798,0.758,24.32,8.879999999999999,3.729,25.915,10.24,73.52000000000001,33.3,,,29.76,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-01 23:00:00,1546414650.0,618.45,17.76,4.96,29.04,34.400000000000006,0.8,0.798,0.7948,23.52,8.52,3.649,24.857,10.4,74.56,30.299999999999997,,,31.68,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 00:00:00,1546418250.0,629.4,17.68,4.88,28.880000000000003,34.72,0.72,0.799,0.9229,22.88,8.52,3.721,24.802,10.72,75.28,35.4,,,33.6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 01:00:00,1546421850.0,651.15,17.76,4.88,29.52,34.56,1.1199999999999999,0.8,0.8755,23.2,8.52,3.6739999999999995,25.686,10.88,74.8,34.5,,,35.68,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 02:00:00,1546425450.0,654.75,17.840000000000003,4.8,30.32,33.92,0.8,0.8,0.8996,23.04,8.4,3.763,25.373,11.2,74.24,37.2,,,35.68,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 03:00:00,1546429050.0,663.9,17.76,4.8,30.88,34.24,0.8,0.8,0.9796,21.92,8.52,3.782,25.393,11.36,74.08,15.9,,,35.84,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 04:00:00,1546432650.0,678.6,17.840000000000003,4.8,31.28,37.92,1.12,0.8,0.9784999999999999,24.16,8.280000000000001,4.002,25.942,11.76,73.92,14.1,,,39.36,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 05:00:00,1546436250.0,690.15,18.0,4.8,33.36,45.760000000000005,0.8,0.8,1.0028,26.4,8.04,4.074,27.15,11.52,77.36,16.5,,,38.56,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 06:00:00,1546439850.0,742.5,18.0,4.72,34.4,49.760000000000005,0.8,0.794,0.995,28.96,9.0,25.989,29.518,16.0,89.68,16.5,,,71.19999999999999,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 07:00:00,1546443450.0,758.25,17.840000000000003,4.88,39.36,46.88,0.8,0.391,0.9902,32.480000000000004,8.4,27.351,25.688,17.92,89.28,18.299999999999997,,,78.24,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-01-02 08:00:00,1546447050.0,763.95,20.240000000000002,5.52,42.72,44.8,0.96,0.325,0.9441,36.8,8.399999999999999,22.384999999999998,20.287,15.36,99.03999999999999,22.5,,,73.12,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
