,timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,load,datetime,dst
0,1577779200,Clear,clear-night,0.0,0.0,8.84,7.42,3.32,0.68,2.54,353,16.093,0.0,1020.0,,,
1,1577782800,Clear,clear-night,0.0,0.0,8.6,6.9,3.2,0.69,2.89,3,16.093,0.01,1019.9,,,
2,1577786400,Clear,clear-night,0.0,0.0,8.53,6.75,2.89,0.68,2.99,11,16.093,0.01,1020.4,,,
3,1577790000,Clear,clear-night,0.0,0.0,8.67,7.16,2.56,0.65,2.62,16,16.093,0.0,1020.6,,,
4,1577793600,Clear,clear-night,0.0,0.0,8.58,7.03,2.19,0.64,2.67,20,16.093,0.0,1020.4,,,
5,1577797200,Clear,clear-night,0.0,0.0,8.48,7.04,2.09,0.64,2.47,1,16.093,0.0,1020.5,,,
6,1577800800,Clear,clear-night,0.0,0.0,8.28,6.57,1.5,0.62,2.81,19,16.093,0.01,1020.7,,,
7,1577804400,Clear,clear-night,0.0,0.0,7.86,6.11,1.68,0.65,2.74,13,16.093,0.04,1021.1,,,
8,1577808000,Clear,clear-day,0.0,0.0,7.39,5.9,1.72,0.67,2.29,14,16.093,0.07,1021.5,,,
9,1577811600,Clear,clear-day,0.0067,0.03,9.65,8.39,2.25,0.6,2.52,17,16.093,0.09,1021.6,,,
10,1577815200,Clear,clear-day,0.0,0.0,12.04,12.04,3.11,0.54,2.49,19,16.093,0.09,1021.8,,,
11,1577818800,Clear,clear-day,0.0,0.0,13.5,13.5,2.87,0.49,3.02,355,16.093,0.11,1021.5,,,
12,1577822400,Clear,clear-day,0.0,0.0,14.7,14.7,2.53,0.44,3.02,356,16.093,0.11,1020.8,,,
13,1577826000,Clear,clear-day,0.0,0.0,15.29,15.29,2.91,0.43,2.72,339,16.093,0.13,1020.6,,,
14,1577829600,Clear,clear-day,0.0,0.0,15.83,15.83,2.98,0.42,2.05,331,16.093,0.15,1020.3,,,
15,1577833200,Clear,clear-day,0.0,0.0,15.82,15.82,3.46,0.44,1.74,17,16.093,0.09,1020.0,,,
16,1577836800,Clear,clear-day,0.0,0.0,15.57,15.57,3.52,0.45,1.5,85,16.093,0.11,1019.7,,,
17,1577840400,Clear,clear-night,0.0,0.0,14.28,14.28,3.89,0.5,1.39,267,16.093,0.12,1019.7,,,
18,1577844000,Clear,clear-night,0.0,0.0,11.99,11.99,3.17,0.55,1.47,297,16.093,0.1,1020.2,,,
19,1577847600,Clear,clear-night,0.0,0.0,10.9,10.9,3.07,0.58,1.66,322,16.093,0.1,1019.9,,,
20,1577851200,Clear,clear-night,0.0,0.0,10.46,10.46,3.1,0.6,1.56,296,16.093,0.07,1020.5,,,
21,1577854800,Clear,clear-night,0.0,0.0,10.22,10.22,2.71,0.6,1.77,277,16.093,0.1,1020.7,,,
22,1577858400,Clear,clear-night,0.0,0.0,9.95,9.52,3.17,0.63,1.57,291,16.037,0.09,1021.6,,,
23,1577862000,Clear,clear-night,0.0,0.0,9.4,8.75,2.43,0.62,1.72,109,16.093,0.07,1020.9,,,
24,1577865600,Clear,clear-night,0.0,0.0,9.1,8.49,2.43,0.63,1.63,276,16.093,0.05,1020.3,,,
25,1577869200,Clear,clear-night,0.0,0.0,8.88,8.13,3.46,0.69,1.74,283,15.693,0.15,1021.7,906.6564,2020-01-01 01:00,N
26,1577872800,Clear,clear-night,0.0,0.0,8.3,7.66,3.02,0.69,1.54,307,15.549000000000001,0.03,1021.5,871.6684000000001,2020-01-01 02:00,N
27,1577876400,Clear,clear-night,0.0,0.0,8.38,7.44,3.49,0.71,1.86,96,15.128,0.04,1020.8,862.6644,2020-01-01 03:00,N
28,1577880000,Clear,clear-night,0.0,0.0,8.47,7.89,3.81,0.72,1.51,37,16.093,0.19,1021.0,895.2891999999999,2020-01-01 04:00,N
29,1577883600,Clear,clear-night,0.0,0.0,8.59,7.84,3.8,0.72,1.69,277,16.093,0.16,1020.2,928.4843999999999,2020-01-01 05:00,N
30,1577887200,Clear,clear-night,0.0,0.0,8.65,7.98,3.96,0.72,1.61,264,16.093,0.08,1020.2,989.2888,2020-01-01 06:00,N
31,1577890800,Clear,clear-night,0.0,0.0,8.57,8.1,4.43,0.75,1.42,265,16.093,0.22,1021.5,1244.2928000000002,2020-01-01 07:00,N
32,1577894400,Clear,clear-day,0.0,0.0,8.7,7.63,4.98,0.77,2.06,208,15.46,0.3,1020.9,1096.7004000000002,2020-01-01 08:00,N
33,1577898000,Partly Cloudy,partly-cloudy-day,0.0,0.0,9.87,8.88,5.99,0.77,2.2,234,16.093,0.32,1020.9,999.2892000000002,2020-01-01 09:00,N
34,1577901600,Clear,clear-day,0.0,0.0,11.54,11.54,7.4,0.76,2.88,255,15.925,0.27,1021.4,948.3999999999999,2020-01-01 10:00,N
