time,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed,datetime
1/1/08 0:00,8.22,0,-10.58,0.24,clear-night,0,0,,1024.19,Clear,8.71,0,16.089,80,3.78,1.46,1/1/08 0:00
1/1/08 0:15,8.34,0,-10.6125,0.24,,0,0,,1024.0975,,8.79,0,16.089,73.25,3.655,1.4375,1/1/08 0:15
1/1/08 0:30,8.46,0,-10.645,0.24,,0,0,,1024.005,,8.87,0,16.089,66.5,3.53,1.415,1/1/08 0:30
1/1/08 0:45,8.58,0,-10.6775,0.24,,0,0,,1023.9125,,8.95,0,16.089,59.75,3.405,1.3925,1/1/08 0:45
1/1/08 1:00,8.7,0,-10.71,0.24,clear-night,0,0,,1023.82,Clear,9.03,0,16.089,53,3.28,1.37,1/1/08 1:00
1/1/08 1:15,8.5725,0,-10.8075,0.24,,0,0,,1023.7575,,8.82,0,16.089,65.25,3.435,1.34,1/1/08 1:15
1/1/08 1:30,8.445,0,-10.905,0.24,,0,0,,1023.695,,8.61,0,16.089,77.5,3.59,1.31,1/1/08 1:30
1/1/08 1:45,8.3175,0,-11.0025,0.24,,0,0,,1023.6325,,8.4,0,16.089,89.75,3.745,1.28,1/1/08 1:45
1/1/08 2:00,8.19,0,-11.1,0.24,clear-night,0,0,,1023.57,Clear,8.19,0,16.089,102,3.9,1.25,1/1/08 2:00
1/1/08 2:15,7.9725,0,-11.2925,0.2375,,0,0,,1023.57,,8.1675,0,16.089,93.25,3.905,1.35,1/1/08 2:15
1/1/08 2:30,7.755,0,-11.485,0.235,,0,0,,1023.57,,8.145,0,16.089,84.5,3.91,1.45,1/1/08 2:30
1/1/08 2:45,7.5375,0,-11.6775,0.2325,,0,0,,1023.57,,8.1225,0,16.089,75.75,3.915,1.55,1/1/08 2:45
1/1/08 3:00,7.32,0,-11.87,0.23,clear-night,0,0,,1023.57,Clear,8.1,0,16.089,67,3.92,1.65,1/1/08 3:00
1/1/08 3:15,7.3125,0,-12.015,0.2275,,0,0,,1023.48,,8.02,0,16.089,52.25,3.7225,1.575,1/1/08 3:15
1/1/08 3:30,7.305,0,-12.16,0.225,,0,0,,1023.39,,7.94,0,16.089,37.5,3.525,1.5,1/1/08 3:30
1/1/08 3:45,7.2975,0,-12.305,0.2225,,0,0,,1023.3,,7.86,0,16.089,22.75,3.3275,1.425,1/1/08 3:45
1/1/08 4:00,7.29,0,-12.45,0.22,clear-night,0,0,,1023.21,Clear,7.78,0,16.089,8,3.13,1.35,1/1/08 4:00
1/1/08 4:15,7.4125,0,-12.5425,0.22,,0,0,,1023.2375,,7.78,0,16.089,24.5,3.1475,1.2875,1/1/08 4:15
1/1/08 4:30,7.535,0,-12.635,0.22,,0,0,,1023.265,,7.78,0,16.089,41,3.165,1.225,1/1/08 4:30
1/1/08 4:45,7.6575,0,-12.7275,0.22,,0,0,,1023.2925,,7.78,0,16.089,57.5,3.1825,1.1625,1/1/08 4:45
1/1/08 5:00,7.78,0,-12.82,0.22,clear-night,0,0,,1023.32,Clear,7.78,0,16.089,74,3.2,1.1,1/1/08 5:00
